id	name	students2007	students2008	students2009	students2010	students2011	students2012	students2013	students2014	students2015	students2016	students2017	students2018	Grand Total
AFG	Afghanistan		47	63	69	72	82	73	68	74	92	85	72	847
ALB	Albania	43	54	52	58	55	53	39	52	56	54	55	61	632
DZA	Algeria	3	1	1	2	3	2	4	4	6	6	3	5	40
198	Andorra	1	1	1	1			1	1	1	1		1	9
AGO	Angola	3	3	3										9
197	Antigua and Barbuda	4	4	4	5	6	3	3	2	1	4	4	4	44
ARG	Argentina	37	29	31	33	28	30	26	36	30	32	37	36	385
ARM	Armenia	27	29	26	31	32	35	34	28	27	30	33	30	362
AUS	Australia	2	4	7	8	6	5	3	1	1	2	5	5	49
AUT	Austria	10	9	10	6	7	7	9	7	7	6	5	4	87
AZE	Azerbaijan	1	2	2	2	3	4	6	5	3	3	4	2	37
BHS	Bahamas	2	1	2		1	1	1	2	4	2	4	2	22
BGD	Bangladesh	299	330	370	383	365	377	351	383	431	469	506	536	4800
180	Barbados	23	22	27	31	23	19	19	18	17	18	16	7	240
BLR	Belarus/Belorussia	9	13	10	8	12	13	10	6	3	6	10	8	108
BEL	Belgium	3	1	2	2	3	1	1	1	3	6	5	3	31
BLZ	Belize	5	6	10	10	11	13	5	6	8	9	8	5	96
BEN	Benin	1	2	2	2	2	2	1	1	2	1	1		17
201	Bermuda		2	1	2	2	2			1	1	1	1	13
BTN	Bhutan	3	3	2	1		1	1		1				12
BOL	Bolivia	24	26	26	26	33	31	28	28	30	27	27	22	328
BIH	Bosnia and Herzegovina	6	7	13	12	12	9	8	11	7	7	7	7	106
BWA	Botswana		1	1	1									3
BRA	Brazil	41	46	51	49	39	42	38	42	44	38	35	32	497
221	British Indian Ocean Territory		1	1	1	1						1	2	7
BRN	British West Indies	2	2	2	2	2	2	2	3	1	1	1		20
BGR	Bulgaria	15	12	14	13	10	10	9	16	14	13	9	7	142
BFA	Burkina Faso			1	2	2	1	1	2	1	2	4	3	19
MMR	Burma		1	1	1	1								4
BDI	Burundi	1		1										2
KHM	Cambodia	1	2	2	3	2	1	1	2	3	2	3	2	24
CMR	Cameroon		1	1	1		2	3	6	3	2	1		20
CAN	Canada	14	18	16	15	16	15	19	19	13	10	7	7	169
169	Cape Verde					1							1	2
TCD	Chad					1								1
CHL	Chile	30	33	34	32	27	26	25	17	20	21	18	18	301
CHN	China	817	990	1101	1156	1154	1200	1174	1158	1149	1178	1118	1093	13288
COL	Colombia	427	461	467	457	454	434	399	435	425	445	438	404	5246
160	Comoros		1	1					1				1	4
COG	Congo		1	1	1	1	1		1	1	3		3	13
CRI	Costa Rica	10	9	13	11	13	12	11	10	9	6	9	10	123
CIV	Cote D'Ivoire (Ivory Coast)	2	2	4	2	4	5	4	3			1	1	28
HRV	Croatia	67	63	61	61	62	49	41	35	30	30	28	26	552
CUB	Cuba	71	72	75	67	55	54	47	42	38	37	37	33	628
CYP	Cyprus	25	21	25	26	19	21	27	29	23	22	27	33	298
CZE	Czechoslovakia	13	17	14	14	10	8	6	9	8	9	7	8	123
DNK	Denmark	1	3	3	2			1	1		1	2	1	15
DJI	Djibouti	1	1											2
DOM	Dominica	7	7	7	8	5	7	5	9	9	4	4	5	77
DOM	Dominican Republic	431	440	508	520	534	538	506	517	520	536	540	534	6124
183	Dutch Antilles	1	1	2	2			1	2	1	1	1	1	13
ECU	Ecuador	373	362	409	399	418	425	391	418	421	413	432	423	4884
EGY	Egypt	53	61	61	56	61	59	60	72	78	81	86	74	802
SLV	El Salvador	81	89	92	104	114	115	117	121	122	128	140	151	1374
GNQ	Equatorial Guinea					1	1	1	1	1				5
EST	Estonia	4	1	1				1						7
ETH	Ethiopia	4	4	4	3			2	1	5	5	3	2	33
FJI	Fiji								1					1
FIN	Finland			2	1		1	3	2	3	4	1		17
FRA	France	15	24	27	25	24	12	12	14	14	15	16	19	217
GAB	Gabon		1			1	2	1	1	1	2	1		10
GMB	Gambia	2	1	2	1	1	2	1	1	1	3	4	6	25
GEO	Georgia	9	10	12	12	14	10	8	8	6	6	8	4	107
DEU	Germany	270	253	222	209	155	113	83	74	79	74	73	73	1678
GHA	Ghana	14	20	20	21	18	12	14	13	9	13	14	22	190
214	Greece	342	368	377	364	314	280	215	228	224	224	225	204	3365
GRC	Greenland	1	2	2						1	2	2		10
190	Grenada	12	10	12	11	13	15	11	15	13	8	10	10	140
GTM	Guatemala	40	40	47	51	58	59	71	68	61	45	44	56	640
GIN	Guinea	4	7	4	5	4	12	10	4	3	7	5	8	73
GNB	Guinea-Bissau									1	1	2	1	5
